171027_GrNH2_20min.csv;;Kemi1\Kemi01;27-10-2017 15:38:47;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
350;2.9931
351;2.9594
352;2.9102
353;2.8767
354;2.817
355;2.7471
356;2.6573
357;2.5642
358;2.4642
359;2.3353
360;2.2135
361;2.0897
362;1.982
363;1.8652
364;1.7353
365;1.621
366;1.519
367;1.4216
368;1.3305
369;1.2428
370;1.1608
371;1.0896
372;1.0287
373;0.9668
374;0.914
375;0.869
376;0.8277
377;0.7951
378;0.7699
379;0.7446
380;0.7211
381;0.7025
382;0.6871
383;0.6743
384;0.6645
385;0.6567
386;0.6507
387;0.6469
388;0.6449
389;0.6441
390;0.6444
391;0.6456
392;0.6476
393;0.651
394;0.655
395;0.6589
396;0.6642
397;0.6699
398;0.6751
399;0.6812
400;0.6875
401;0.6935
402;0.6997
403;0.7064
404;0.7128
405;0.7188
406;0.7253
407;0.7313
408;0.7381
409;0.7448
410;0.7505
411;0.7561
412;0.7613
413;0.7665
414;0.7714
415;0.776
416;0.7804
417;0.7846
418;0.7882
419;0.7915
420;0.7944
421;0.7967
422;0.7986
423;0.8006
424;0.8018
425;0.8026
426;0.8034
427;0.8033
428;0.8034
429;0.803
430;0.8021
431;0.801
432;0.7998
433;0.7984
434;0.7966
435;0.7948
436;0.7926
437;0.7902
438;0.7875
439;0.7847
440;0.7822
441;0.779
442;0.7757
443;0.772
444;0.7687
445;0.7646
446;0.7611
447;0.7575
448;0.7537
449;0.7498
450;0.7462
451;0.7419
452;0.7382
453;0.7345
454;0.7305
455;0.7266
456;0.723
457;0.7197
458;0.7159
459;0.7129
460;0.7101
461;0.7073
462;0.7044
463;0.7021
464;0.7
465;0.698
466;0.6959
467;0.6943
468;0.693
469;0.6921
470;0.6914
471;0.6909
472;0.6906
473;0.6904
474;0.6908
475;0.6911
476;0.6917
477;0.6923
478;0.693
479;0.6939
480;0.6949
481;0.6963
482;0.6971
483;0.6981
484;0.699
485;0.6998
486;0.7015
487;0.7025
488;0.7034
489;0.7043
490;0.7051
491;0.7063
492;0.7066
493;0.707
494;0.7072
495;0.7074
496;0.7075
497;0.7071
498;0.7067
499;0.706
500;0.705
501;0.704
502;0.7029
503;0.7012
504;0.6992
505;0.6973
506;0.695
507;0.6929
508;0.6897
509;0.6866
510;0.6835
511;0.6799
512;0.6758
513;0.672
514;0.6675
515;0.6634
516;0.6583
517;0.6533
518;0.6482
519;0.6427
520;0.6376
521;0.6318
522;0.6251
523;0.6184
524;0.6117
525;0.6049
526;0.5971
527;0.5906
528;0.5828
529;0.5757
530;0.569
531;0.5606
532;0.5518
533;0.543
534;0.5353
535;0.5271
536;0.5173
537;0.5086
538;0.5003
539;0.491
540;0.481
541;0.4717
542;0.4631
543;0.4544
544;0.4451
545;0.4347
546;0.4246
547;0.4154
548;0.4059
549;0.3965
550;0.387
551;0.3771
552;0.3675
553;0.3581
554;0.3497
555;0.3407
556;0.3308
557;0.3211
558;0.3119
559;0.3026
560;0.2937
561;0.2845
562;0.2763
563;0.2676
564;0.2589
565;0.2505
566;0.2429
567;0.2345
568;0.2264
569;0.2184
570;0.2105
571;0.2031
572;0.1961
573;0.1893
574;0.1828
575;0.175
576;0.1696
577;0.1632
578;0.1573
579;0.1514
580;0.1457
581;0.1394
582;0.1342
583;0.1296
584;0.1243
585;0.1195
586;0.1144
587;0.1103
588;0.1059
589;0.1014
590;0.0972
591;0.0939
592;0.0899
593;0.0861
594;0.0832
595;0.0798
596;0.0768
597;0.0735
598;0.0708
599;0.0685
600;0.0656
601;0.0628
602;0.0602
603;0.058
604;0.056
605;0.0536
606;0.0518
607;0.0498
608;0.0476
609;0.0459
610;0.045
611;0.0424
612;0.0406
613;0.0395
614;0.0384
615;0.0369
616;0.0355
617;0.0338
618;0.0333
619;0.0322
620;0.0309
621;0.0298
622;0.029
623;0.0271
624;0.0269
625;0.0266
626;0.0253
627;0.0245
628;0.0238
629;0.0233
630;0.0226
631;0.0215
632;0.0212
633;0.0201
634;0.0206
635;0.0193
636;0.019
637;0.0183
638;0.0183
639;0.0174
640;0.0173
641;0.0169
642;0.0161
643;0.016
644;0.0154
645;0.0151
646;0.0148
647;0.0142
648;0.0143
649;0.0134
650;0.0142
