171027_GrNH2_60min.csv;;Kemi1\Kemi01;27-10-2017 15:46:04;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
350;2.5392
351;2.5069
352;2.4666
353;2.4189
354;2.3622
355;2.2911
356;2.2019
357;2.1026
358;1.9968
359;1.8622
360;1.7343
361;1.6045
362;1.495
363;1.3768
364;1.2457
365;1.1319
366;1.0312
367;0.9359
368;0.849
369;0.7672
370;0.6915
371;0.6276
372;0.5741
373;0.5206
374;0.476
375;0.4391
376;0.4061
377;0.3801
378;0.3604
379;0.3414
380;0.3229
381;0.3084
382;0.2964
383;0.2858
384;0.2768
385;0.2692
386;0.2626
387;0.2569
388;0.2524
389;0.2485
390;0.2448
391;0.2412
392;0.2384
393;0.2359
394;0.2334
395;0.2314
396;0.2291
397;0.2272
398;0.2253
399;0.2236
400;0.2218
401;0.2202
402;0.2187
403;0.2168
404;0.2154
405;0.2141
406;0.2126
407;0.2112
408;0.2097
409;0.2081
410;0.2066
411;0.2052
412;0.204
413;0.2025
414;0.2009
415;0.1998
416;0.1982
417;0.1967
418;0.1953
419;0.1937
420;0.1921
421;0.1908
422;0.1892
423;0.1876
424;0.1863
425;0.185
426;0.1834
427;0.1821
428;0.1805
429;0.1792
430;0.1775
431;0.176
432;0.1744
433;0.1732
434;0.1718
435;0.1706
436;0.1693
437;0.1678
438;0.1665
439;0.1649
440;0.1636
441;0.1622
442;0.161
443;0.1597
444;0.1584
445;0.157
446;0.1556
447;0.1545
448;0.1531
449;0.152
450;0.1507
451;0.1495
452;0.1483
453;0.1469
454;0.1457
455;0.1443
456;0.1431
457;0.142
458;0.1404
459;0.1391
460;0.138
461;0.1368
462;0.1353
463;0.1343
464;0.1329
465;0.1317
466;0.1301
467;0.1287
468;0.1276
469;0.1267
470;0.1253
471;0.1242
472;0.1225
473;0.1216
474;0.1201
475;0.1188
476;0.1179
477;0.116
478;0.1149
479;0.1136
480;0.1122
481;0.1112
482;0.1096
483;0.1081
484;0.1072
485;0.1061
486;0.1047
487;0.1034
488;0.1024
489;0.1011
490;0.0997
491;0.0982
492;0.0968
493;0.096
494;0.0944
495;0.0936
496;0.092
497;0.0907
498;0.0897
499;0.0883
500;0.0871
501;0.0858
502;0.0846
503;0.0831
504;0.0823
505;0.0806
506;0.0794
507;0.0781
508;0.0769
509;0.0758
510;0.0747
511;0.073
512;0.0718
513;0.0708
514;0.0693
515;0.0683
516;0.067
517;0.0661
518;0.0644
519;0.0636
520;0.0624
521;0.0618
522;0.0601
523;0.0591
524;0.0578
525;0.0567
526;0.0557
527;0.0548
528;0.0536
529;0.0524
530;0.0517
531;0.0504
532;0.0496
533;0.0483
534;0.0475
535;0.0466
536;0.045
537;0.0445
538;0.0437
539;0.0427
540;0.0419
541;0.0408
542;0.04
543;0.0391
544;0.0382
545;0.0374
546;0.0367
547;0.0355
548;0.0351
549;0.0342
550;0.0335
551;0.0327
552;0.0321
553;0.0316
554;0.0305
555;0.0299
556;0.029
557;0.0284
558;0.0277
559;0.0273
560;0.027
561;0.0263
562;0.0256
563;0.0251
564;0.0243
565;0.0236
566;0.0233
567;0.0225
568;0.0223
569;0.0218
570;0.021
571;0.0207
572;0.02
573;0.0198
574;0.0191
575;0.0187
576;0.0184
577;0.0179
578;0.0178
579;0.0173
580;0.0164
581;0.0164
582;0.0164
583;0.0163
584;0.0154
585;0.0151
586;0.0148
587;0.0146
588;0.0144
589;0.0141
590;0.0141
591;0.0137
592;0.0135
593;0.0131
594;0.0126
595;0.0125
596;0.0128
597;0.0128
598;0.0119
599;0.0119
600;0.0114
601;0.0116
602;0.0113
603;0.0112
604;0.0111
605;0.0106
606;0.0108
607;0.0107
608;0.0099
609;0.01
610;0.0105
611;0.0102
612;0.0095
613;0.01
614;0.0092
615;0.0098
616;0.009
617;0.0083
618;0.0086
619;0.0091
620;0.0085
621;0.0089
622;0.0082
623;0.0085
624;0.0085
625;0.0077
626;0.0077
627;0.0081
628;0.0077
629;0.0078
630;0.0076
631;0.0074
632;0.0075
633;0.0078
634;0.0076
635;0.0072
636;0.0066
637;0.0066
638;0.0069
639;0.0065
640;0.0064
641;0.0064
642;0.0058
643;0.0066
644;0.0057
645;0.0064
646;0.0063
647;0.0056
648;0.0049
649;0.0063
650;0.0062
