171027_GrNH2_40min.csv;;Kemi1\Kemi01;27-10-2017 15:42:42;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
350;2.6889
351;2.6567
352;2.6178
353;2.5717
354;2.5146
355;2.4428
356;2.3558
357;2.2558
358;2.1513
359;2.0165
360;1.8867
361;1.7551
362;1.6438
363;1.5235
364;1.3891
365;1.2721
366;1.1689
367;1.0705
368;0.9801
369;0.894
370;0.8147
371;0.7472
372;0.6894
373;0.6323
374;0.5839
375;0.5437
376;0.5071
377;0.4785
378;0.4564
379;0.4349
380;0.4146
381;0.3982
382;0.3846
383;0.3731
384;0.3638
385;0.3559
386;0.3491
387;0.344
388;0.3401
389;0.3371
390;0.3346
391;0.3326
392;0.3316
393;0.3305
394;0.3301
395;0.33
396;0.3302
397;0.3308
398;0.3312
399;0.3321
400;0.3331
401;0.334
402;0.3351
403;0.3363
404;0.3374
405;0.3385
406;0.3399
407;0.3411
408;0.3425
409;0.3441
410;0.345
411;0.3463
412;0.3473
413;0.3483
414;0.3493
415;0.3502
416;0.3512
417;0.352
418;0.3526
419;0.3532
420;0.3533
421;0.3535
422;0.3535
423;0.3538
424;0.3538
425;0.3535
426;0.3533
427;0.353
428;0.3525
429;0.3521
430;0.3511
431;0.3503
432;0.3494
433;0.3485
434;0.3476
435;0.3465
436;0.3454
437;0.3441
438;0.3431
439;0.3415
440;0.3405
441;0.339
442;0.3376
443;0.3359
444;0.3343
445;0.3326
446;0.3311
447;0.3295
448;0.3277
449;0.326
450;0.3242
451;0.3224
452;0.3206
453;0.3187
454;0.3169
455;0.3152
456;0.3133
457;0.3116
458;0.3098
459;0.3082
460;0.3067
461;0.3052
462;0.3034
463;0.302
464;0.3004
465;0.299
466;0.2975
467;0.2962
468;0.2949
469;0.2936
470;0.2927
471;0.2916
472;0.2905
473;0.2896
474;0.2885
475;0.2877
476;0.2871
477;0.2863
478;0.2853
479;0.2848
480;0.284
481;0.2834
482;0.2827
483;0.2816
484;0.2811
485;0.2804
486;0.2799
487;0.2788
488;0.2783
489;0.2774
490;0.2768
491;0.2759
492;0.2753
493;0.2742
494;0.2733
495;0.2725
496;0.2714
497;0.2704
498;0.269
499;0.268
500;0.2667
501;0.2653
502;0.2637
503;0.2623
504;0.261
505;0.2594
506;0.2577
507;0.256
508;0.2542
509;0.2523
510;0.2503
511;0.2483
512;0.2461
513;0.2439
514;0.2421
515;0.2397
516;0.2372
517;0.2347
518;0.2324
519;0.23
520;0.2277
521;0.2247
522;0.2221
523;0.2194
524;0.2168
525;0.2136
526;0.2106
527;0.2077
528;0.2049
529;0.202
530;0.1991
531;0.1959
532;0.193
533;0.1893
534;0.1864
535;0.1834
536;0.18
537;0.1766
538;0.1739
539;0.1703
540;0.1669
541;0.1631
542;0.1601
543;0.1573
544;0.1535
545;0.1503
546;0.1467
547;0.1433
548;0.14
549;0.137
550;0.1338
551;0.1303
552;0.1272
553;0.1239
554;0.121
555;0.1179
556;0.1143
557;0.1113
558;0.1082
559;0.1049
560;0.1021
561;0.099
562;0.0962
563;0.0934
564;0.0905
565;0.0876
566;0.0853
567;0.0825
568;0.0797
569;0.0768
570;0.0743
571;0.0717
572;0.0697
573;0.0671
574;0.0655
575;0.0627
576;0.0607
577;0.0587
578;0.0568
579;0.0548
580;0.0529
581;0.0509
582;0.0492
583;0.0482
584;0.0462
585;0.0443
586;0.043
587;0.0409
588;0.0398
589;0.0387
590;0.0372
591;0.036
592;0.0344
593;0.0336
594;0.0324
595;0.0312
596;0.03
597;0.0294
598;0.0277
599;0.0272
600;0.0262
601;0.0255
602;0.0245
603;0.0239
604;0.0232
605;0.0221
606;0.0216
607;0.0209
608;0.0202
609;0.0201
610;0.0194
611;0.0186
612;0.018
613;0.0176
614;0.0172
615;0.0166
616;0.0163
617;0.0157
618;0.015
619;0.0151
620;0.0142
621;0.014
622;0.0138
623;0.0134
624;0.0131
625;0.0121
626;0.0122
627;0.0122
628;0.0117
629;0.0118
630;0.0113
631;0.0111
632;0.0111
633;0.0103
634;0.0104
635;0.0104
636;0.0099
637;0.0099
638;0.009
639;0.0095
640;0.009
641;0.0091
642;0.0088
643;0.0085
644;0.0082
645;0.0078
646;0.0081
647;0.0078
648;0.0077
649;0.0074
650;0.0071
