171027_GrNH2_10min.csv;;Kemi1\Kemi01;27-10-2017 15:35:25;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
350;3.0217
351;2.9809
352;2.9481
353;2.8975
354;2.841
355;2.7697
356;2.6882
357;2.5954
358;2.4984
359;2.3742
360;2.2581
361;2.1386
362;2.0376
363;1.9276
364;1.8034
365;1.6945
366;1.5974
367;1.5036
368;1.4163
369;1.3309
370;1.2512
371;1.183
372;1.1229
373;1.0621
374;1.01
375;0.9654
376;0.9245
377;0.8922
378;0.8668
379;0.8421
380;0.8188
381;0.8
382;0.7852
383;0.7728
384;0.7637
385;0.7565
386;0.7515
387;0.7487
388;0.7478
389;0.7481
390;0.7499
391;0.7528
392;0.7562
393;0.761
394;0.7665
395;0.7721
396;0.7793
397;0.7869
398;0.7941
399;0.802
400;0.8102
401;0.8179
402;0.8258
403;0.8344
404;0.8424
405;0.8503
406;0.8581
407;0.8663
408;0.8746
409;0.8829
410;0.89
411;0.8969
412;0.9037
413;0.91
414;0.9164
415;0.9223
416;0.9279
417;0.9329
418;0.9374
419;0.9417
420;0.9455
421;0.9484
422;0.9509
423;0.9533
424;0.9548
425;0.9561
426;0.9569
427;0.9572
428;0.9572
429;0.9569
430;0.9558
431;0.9548
432;0.9533
433;0.9513
434;0.9495
435;0.9472
436;0.9447
437;0.9418
438;0.9388
439;0.9354
440;0.9319
441;0.9283
442;0.9246
443;0.9202
444;0.916
445;0.9113
446;0.9068
447;0.9027
448;0.898
449;0.8936
450;0.8892
451;0.8844
452;0.8797
453;0.8756
454;0.8708
455;0.8662
456;0.8619
457;0.8578
458;0.8535
459;0.8499
460;0.8469
461;0.8436
462;0.8402
463;0.8374
464;0.8348
465;0.8325
466;0.8307
467;0.8289
468;0.8279
469;0.827
470;0.8261
471;0.8257
472;0.8258
473;0.8259
474;0.8264
475;0.8271
476;0.828
477;0.8292
478;0.8304
479;0.8318
480;0.8334
481;0.835
482;0.8365
483;0.8381
484;0.8393
485;0.8408
486;0.8429
487;0.8445
488;0.846
489;0.8471
490;0.8484
491;0.8498
492;0.8509
493;0.8515
494;0.852
495;0.8525
496;0.8527
497;0.8528
498;0.8524
499;0.8518
500;0.8506
501;0.8494
502;0.8482
503;0.8465
504;0.8447
505;0.8423
506;0.8395
507;0.8367
508;0.8333
509;0.8301
510;0.8265
511;0.8221
512;0.8175
513;0.8127
514;0.8077
515;0.8024
516;0.7966
517;0.7908
518;0.7844
519;0.7781
520;0.7719
521;0.765
522;0.7569
523;0.7488
524;0.7411
525;0.7325
526;0.7239
527;0.7156
528;0.706
529;0.6978
530;0.6897
531;0.6793
532;0.6691
533;0.6581
534;0.649
535;0.6391
536;0.627
537;0.6166
538;0.607
539;0.5953
540;0.5831
541;0.5721
542;0.5619
543;0.5509
544;0.5392
545;0.5273
546;0.5147
547;0.5032
548;0.4923
549;0.481
550;0.4691
551;0.4572
552;0.4456
553;0.4337
554;0.4235
555;0.4124
556;0.4002
557;0.3893
558;0.3777
559;0.3664
560;0.3553
561;0.3447
562;0.3344
563;0.3236
564;0.3132
565;0.303
566;0.2931
567;0.2834
568;0.2734
569;0.2638
570;0.2546
571;0.2451
572;0.2369
573;0.2284
574;0.2202
575;0.2119
576;0.2045
577;0.1973
578;0.1898
579;0.1824
580;0.1757
581;0.1686
582;0.1622
583;0.156
584;0.1503
585;0.1437
586;0.1383
587;0.1327
588;0.1277
589;0.1225
590;0.1173
591;0.1131
592;0.1085
593;0.1043
594;0.0997
595;0.0961
596;0.0918
597;0.0884
598;0.0848
599;0.0814
600;0.0783
601;0.0752
602;0.0722
603;0.0695
604;0.067
605;0.0641
606;0.0621
607;0.0592
608;0.0576
609;0.0551
610;0.0532
611;0.0512
612;0.0492
613;0.0476
614;0.0459
615;0.0442
616;0.0428
617;0.0414
618;0.0402
619;0.0381
620;0.0373
621;0.0358
622;0.0343
623;0.0332
624;0.0322
625;0.0313
626;0.0302
627;0.0292
628;0.0285
629;0.0279
630;0.0274
631;0.0264
632;0.0255
633;0.025
634;0.0237
635;0.0231
636;0.0226
637;0.0219
638;0.0217
639;0.0207
640;0.0202
641;0.0191
642;0.0191
643;0.0189
644;0.0184
645;0.018
646;0.0175
647;0.0167
648;0.0172
649;0.0169
650;0.0161
